artist,artist_id,track,track_duration,composer,composition_id,score_path,midi_path,youtube_links,old_midi_path
Claudio Arrau,1,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",250.986,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05872.mid",https://www.youtube.com/watch?v=kk7hoIavGdg,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/36.mid"
Alfred Brendel,0,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",230.0,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05877.mid",https://www.youtube.com/watch?v=AsvrPGQ--T8,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/44.mid"
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",248.96,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05878.mid",https://www.youtube.com/watch?v=TaH5o-wy82A,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/45.mid"
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 4. Rondo (Allegro)",248.026,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05879.mid",https://www.youtube.com/watch?v=k1oov3K4_hg,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/46.mid"
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",215.986,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05882.mid",https://www.youtube.com/watch?v=toJJHrZRMFI,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/50.mid"
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",225.653,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05883.mid",https://www.youtube.com/watch?v=gBYYhc4EFdw,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/51.mid"
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo: Allegro",213.346,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05884.mid",https://www.youtube.com/watch?v=shS-SBkQfCw,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/52.mid"
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",237.065,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05885.mid",https://www.youtube.com/watch?v=hY_7Ifp054Q,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/54.mid"
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo. Allegro",235.0,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05886.mid",https://www.youtube.com/watch?v=3olBNq3cLAY,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/55.mid"
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: IV. Rondo (Allegro)",239.0,Ludwig van Beethoven,2,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/05887.mid",https://www.youtube.com/watch?v=oerhWV0oiLo,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/IV._Rondo._Allegro/56.mid"
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: II. Largo e Mesto",509.333,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05896.mid",https://www.youtube.com/watch?v=s2eKHX63J28,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/5.mid"
Sviatoslav Richter,4,"Sonata No. 7 in D Major, Op. 10, No. 3: II. Largo e mesto",507.333,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05897.mid",https://www.youtube.com/watch?v=liZt8w4jrJg,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/6.mid"
Sviatoslav Richter,4,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",491.16,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05898.mid",https://www.youtube.com/watch?v=JgBZtRHOXL4,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/7.mid"
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",592.64,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05910.mid",https://www.youtube.com/watch?v=3aNR_XQ2_y8,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/22.mid"
Daniel Barenboim,2,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: 2. Largo e mesto",646.493,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05912.mid",https://www.youtube.com/watch?v=EOz7WnFctBY,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/24.mid"
Daniel Barenboim,2,"Piano Sonata No. 7 In D Major, Op. 10, No. 3: 2. Largo e mesto",603.2,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05913.mid",https://www.youtube.com/watch?v=Zygpfc6T6KQ,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/25.mid"
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",618.066,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05914.mid",https://www.youtube.com/watch?v=aEwVHGmB1cI,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/26.mid"
Claudio Arrau,1,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",619.68,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05915.mid",https://www.youtube.com/watch?v=8K7E6G0SES0,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/27.mid"
Claudio Arrau,1,"Beethoven: Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",618.12,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05917.mid",https://www.youtube.com/watch?v=nubl_ZSCzlc,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/31.mid"
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 2. Largo e mesto",642.026,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05925.mid",https://www.youtube.com/watch?v=5TE2fzVIbhA,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/41.mid"
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 2. Largo e mesto",629.0,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05927.mid",https://www.youtube.com/watch?v=nQtcCIC6w28,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/43.mid"
Alfred Brendel,0,"Piano Sonata No.7 in D, Op.10 No.3: 2. Largo e mesto",630.0,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05928.mid",https://www.youtube.com/watch?v=WbCqlqK-r38,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/44.mid"
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",482.0,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05930.mid",https://www.youtube.com/watch?v=nnEC1aBu9z4,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/46.mid"
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",557.693,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05931.mid",https://www.youtube.com/watch?v=uNVTVj0Ni8A,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/47.mid"
Friedrich Gulda,3,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",483.533,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05932.mid",https://www.youtube.com/watch?v=fSIg18mZWak,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/48.mid"
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",524.48,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05933.mid",https://www.youtube.com/watch?v=4g2JbIwKE5I,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/49.mid"
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",525.0,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05934.mid",https://www.youtube.com/watch?v=Pldf8DeL7qM,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/52.mid"
Wilhelm Kempff,5,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: II. Largo e mesto",527.0,Ludwig van Beethoven,3,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/musicxml_cleaned.musicxml","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/05935.mid",https://www.youtube.com/watch?v=bdiQ-88cc7o,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/II._Largo_e_mesto/51.mid"
Sviatoslav Richter,4,"Piano Sonata No. 7 in D Major, Op. 10 No. 3: I. Presto (Live)",407.306,Ludwig van Beethoven,4,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/I._Presto/Sonate_No._7_1st_Movement.mxl","Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/I._Presto/05943.mid",https://www.youtube.com/watch?v=j6RZmC5Ct_I,"Ludwig_van_Beethoven/Piano_Sonata_No._7_in_D_Major,_Op._10_No._3/I._Presto/3.mid"
